Team,Piece,Order,Include,Score_Current,Score_Previous,Summary_Current,Links,Header_Flag
Chessboard,Chessboard,0,yes,plus-2,zero,This is a test,https://climatographer.com,yes
Chessboard,Cognitive Dissonance,1,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Collective Action Problem,2,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Cultural Narratives,3,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Discounting in Economics,4,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Fossil Fuel Dependence,5,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Future Discounting,6,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Infrastructure Lock-In,7,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Institutional Inertia,8,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Media Incentives,9,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Misinformation Susceptibility,10,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Normalcy Bias,11,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Optimism Bias,12,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Polarization Dynamics,13,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Risk Illiteracy,14,yes,plus-2,zero,This is a test,https://climatographer.com,no
Chessboard,Status Quo Bias,15,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Climate Snapshot,0,yes,plus-2,zero,This is a test,https://climatographer.com,yes
Climate Snapshot,Annual CO2 ppm Increase,1,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Best Estimate 2100 Sea Level Rise,2,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Best Estimate 2100 Temperature Increase,3,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,CH4 Trend,4,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,CO2 Trend (Energy),5,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,CO2 Trend (Land-Use),6,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Drought,7,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Flooding,8,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Heat,9,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Hurricanes,10,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,N2O Trend,11,yes,plus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Near Term Tipping Point Triggering,12,yes,minus-2,zero,This is a test,https://climatographer.com,no
Climate Snapshot,Precipitation,13,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Team No-Urgency,0,yes,minus-2,zero,This is a test,https://climatographer.com,yes
Team No-Urgency,Adaptation as Appropriate Response,1,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Anti-Climate Finance,2,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Challenging Climate Finance Reform,3,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Climate Mitigation as Costly,4,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Climate Mitigation as Futility,5,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Climate Science as Uncertain,6,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Corporate Personhood,7,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Criminalization of Protest,8,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Energy Humanism as Path Forward,9,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Gerrymandering Promotion,10,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Minimization of Climate Risks,11,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Political Polarization Promotion,12,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Renewable Energy as Bad,13,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,Reversing Laws and Regulations,14,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team No-Urgency,SLAPP Suits,15,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Team Urgency,0,yes,minus-2,zero,This is a test,https://climatographer.com,yes
Team Urgency,Airlines,1,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Amount of Climate Finance,2,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Article 6 Carbon Markets,3,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Average Carbon Price,4,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Banking,5,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Biochar,6,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Border Carbon Adjustments,7,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Buildings,8,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Business Climate Liability,9,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Business Greenwashing,10,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,COP Developments,11,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Change in Climate Concern,12,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Climate Change Adaptation,13,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Climate Messaging,14,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Climate Philanthropy,15,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Climate Risk Disclosure,16,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Climate Storytelling,17,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Climate Voting,18,yes,minus-2,zero,This is a test,https://climatographer.com,no
